Key	Description
0	Open custom repo list from ~/.work-sessions-dirs.txt
1	Open Preset 1: Work Github (fzf picker)
2	Open Preset 2: Custom Dirs (file based)
3	Open Preset 3: Personal Github (fzf picker)
4	Open Preset 4 (configured preset)
5	Open Preset 5 (configured preset)
p	Pick preset (interactive)
l	List existing sessions
k	Kill sessions (multi-select)
q	Quit work-sessions mode
?	Show this help
