Key	Description
d	Todos Daily (personal)
D	Todos Daily (work)
f	Search text (all brains)
g	Find file (all brains)
i	AI Notes
I	AI Journal
j	Journal (personal)
J	Journal (work)
l	Backup logs
n	Notes (personal)
N	Notes (work)
p	Search text (personal)
w	Search text (work)
a	Search text (ai/cursor)
k	Find file (personal)
h	Find file (work)
c	Find file (ai/cursor)
s	Scratch (personal)
S	Scratch (work)
t	Todos (personal)
T	Todos (work)
q	Quit table
?	Show help
